Utterance,Label
skip this,skip
this is stupid,skip
this is stupid,harder
this is stupid,feedback
I'm done,exit
quit,exit
I don't know,hint
help,hint
can I do something else?,main menu
what's going on,rapport 
what's going on,main menu
tell me a joke,rapport
tell me a joke,main menu
Sorry I don't understand,do not know
Ten thousand,number
1.234,number
"10,000",number
"123, 456",numbers
"11, 12, 13",numbers
"100, 200, 300",numbers
"100, 200",numbers
Stop for a minute,wait
Bye bye,exit
Good night,exit
Am done,exit
Yes,yes
Help,help
Idiot,harder
Stop,exit
I don't get it,hint
Math,main menu
Math,math topic
Tomorrow let do math,wait
Later,wait
Pls i will continue pls,skip
Rori tell me now,help
harder,skip
Stop for now i wont  to go to  School,exit
Next,next
Okay,okay
Great,affirmation
Give me for example,example
No I want to learn algebraic expressions,algebra
Hi rori,greeting
*help*,help
*Next*,next
Okay nice,okay
I don't know it,hint
Nex,next
I need a help,hint
Please can I ask your any math questions?,faq
The answer is 1,answer
The answer is 1,number
But 0.8 is also same as . 8 so I was actually right,I'm right
What is the number system?,faq
Ok thanks,thanks
I'm going to school now,exit
Let's move to another topic,main menu
"Ummanni saba
Kebena bara kana galmi keenya inni guddaan bilisummaa qofa #Gabrummaan_ammaan booda_gaha namni hundi bakka jiru irraa kutatee ka,ee jira obboleewwan goototni keenya jiran haqa Kebenaaf jechaa jiru Guraandhala 29 booda walabummaa keenya labsina Dhugaa qabna Ni injifanna *** . Naannoo giddu galeessa Itoophiyaatti #Kebenaan aanaa addaati Kun murtoo ummata Kebenaa hundaati",spam
Yes it,yes
U type fast,too fast
I mean your typing is fast,too fast
Why do u type so fast,too fast
Ur  typing is fast,too fast
Can we go to a real work,harder
I know all this,harder
Answer this,preamble
Am tired,exit
This is not what I asked for,main menu
Bye,exit
😱😱😂😂😂😡😰😰😰😒,spam
Gbxbxbcbcbbcbchcbchc,spam
I want to solve math,math topic
Pleas let start with the fraction,fractions topic
Okey,okay
i need substraction,subtraction topic
Can you please stop with me,exit
Another one,next
Harder or easy,main menu
Hard or easier,main menu
Jump topic,menu
Got it,okay
I didn't understand,don't know
Don't understand,don't know
Excuse me pls,hint
Let stop for today,exit
Help and stop asking me stupid questions,
Ykay,okay
Not interested in solving this,menu
Stpo,exit
Hiiiiiii,greeting
Hi rori,greeting
I've done this things before,harder
Which number my phone number,
Unit,main menu
No ide,don't know
No ide,hint
No idea,don't know
🙈🤩😇🙏,spam
Thank u,thanks
Do you know programming,faq
Delete my number,unsubscribe
See u,exit
Can I go for break ??,wait
I wanna fuck,profanity
Enough of this nw,exit
Can we move to equations,equations
Do you know you are an idiot,insult
3 digit number,number
3 digit number,answer
Three digit number,confident answer
Three digit number,number
Good evening Rori,greeting
89 Next,answer
89 Next,number
3 digit number,answer
Three digit number,answer
This is too simple,harder
Am not a kid,harder
Hey Miss Roribcan you ask me some question from Secondary 2,greeting
Hey Miss Roribcan you ask me some question from Secondary 2,faq
Hey Miss Roribcan you ask me some question from Secondary 2,main menu
don't know,hint
don't know,easier
𝑴𝒂𝒕𝒉,math
Rori can you help me to gat value,
I called but u are not picking up,
0.3 answer,answer
Sorry rori was101,answer
Y is it 6,answer
Y is it 6,number
0.3 answer,number
Why 0.5,more explanation
Why 0.5,number
6\nNext,Next
How is the answer is 11,more explanation
How comes we have 11,more explanation
Yes 6,answer
Yes 6,number
6\nNext,number
How is the answer is 11,number
How comes we have 11,number
