lesson_name,L0,T,S,G
G1.M2.1.1.1,0.958,0.114,0.289,0.299
G1.N1.1.1.1,0.5,0.809,0.032,0.242
G1.N1.1.1.2,0.972,0.541,0.03,0.116
G1.N1.1.2.1,0.952,0.268,0.075,0.298
G1.N1.1.2.2,0.948,0.681,0.039,0.269
G1.N1.1.2.3,0.712,0.431,0.037,0.232
G1.N1.1.2.4,0.99,0.001,0.065,0.299
G1.N1.3.1.1,0.986,0.789,0.029,0.023
G1.N1.3.1.11,0.99,0.699,0.103,0.284
G1.N1.3.1.4,0.96,0.331,0.023,0.001
G1.N1.3.1.8,0.987,0.319,0.031,0.228
G2.M2.2.1.1,0.916,0.267,0.293,0.272
G2.N1.1.1.1,0.834,0.7,0.035,0.299
G2.N1.1.1.2,0.845,0.199,0.068,0.299
G2.N1.1.2.1,0.886,0.529,0.027,0.299
G2.N1.1.2.2,0.947,0.137,0.072,0.299
G2.N1.1.2.3,0.847,0.621,0.077,0.299
G2.N1.1.2.4,0.727,0.341,0.044,0.299
G2.N1.1.2.5,0.909,0.151,0.043,0.195
G2.N1.1.3.1,0.988,0.001,0.033,0.266
G2.N1.1.3.2,0.985,0.001,0.035,0.242
G2.N1.2.2.1,0.567,0.086,0.182,0.207
G2.N1.2.2.2,0.925,0.499,0.009,0.299
G2.N1.3.2.2,0.641,0.688,0.016,0.299
G2.N1.3.2.3,0.784,0.441,0.038,0.299
G3.A1.1.1.1,0.899,0.001,0.156,0.299
G3.G1.1.1.1,0.339,0.941,0.224,0.001
G3.G1.1.2.1,0.967,0.001,0.112,0.001
G3.G1.1.4.1,0.99,0.99,0.224,0.298
G3.G1.1.9.1,0.859,0.213,0.299,0.299
G3.M1.1.1.1,0.99,0.99,0.087,0.299
G3.M1.1.1.2,0.979,0.674,0.022,0.299
G3.M1.1.2.1,0.689,0.99,0.299,0.006
G3.N1.1.1.1,0.909,0.809,0.067,0.002
G3.N1.1.1.2,0.922,0.062,0.083,0.14
G3.N1.1.2.1,0.878,0.085,0.103,0.299
G3.N1.1.2.2,0.856,0.442,0.051,0.299
G3.N1.1.2.3,0.748,0.42,0.082,0.299
G3.N1.1.2.4,0.939,0.141,0.05,0.143
G3.N1.1.2.5,0.959,0.99,0.05,0.196
G3.N1.1.3.1,0.982,0.171,0.024,0.001
G3.N1.2.2.1,0.813,0.089,0.074,0.299
G3.S1.1.1.1,0.629,0.99,0.299,0.019
G4.G1.1.11.1,0.443,0.173,0.009,0.299
G4.M2.1.2.1,0.427,0.231,0.18,0.299
G4.N1.1.1.1,0.659,0.047,0.122,0.06
G4.N1.1.1.2,0.768,0.174,0.043,0.299
G4.N1.1.2.1,0.831,0.221,0.076,0.299
G4.N1.1.2.2,0.824,0.094,0.098,0.299
G4.N1.2.2.1,0.593,0.033,0.16,0.299
G4.N2.1.1.1,0.886,0.149,0.092,0.045
G4.N2.1.1.5,0.493,0.106,0.087,0.299
G4.N2.1.1.6,0.699,0.075,0.092,0.169
G5.N1.1.1.1,0.671,0.003,0.122,0.076
G5.N1.1.1.2,0.865,0.059,0.089,0.299
G5.N1.1.2.1,0.835,0.001,0.092,0.299
G5.N1.1.2.2,0.529,0.165,0.131,0.299
G5.N1.1.2.3,0.501,0.164,0.13,0.299
G5.N1.1.3.1,0.715,0.023,0.054,0.06
G5.N1.1.3.2,0.591,0.012,0.06,0.058
G5.N1.2.2.1,0.561,0.181,0.096,0.299
G5.N1.2.2.2,0.797,0.019,0.054,0.057
G5.N1.2.2.3,0.959,0.118,0.002,0.299
G5.N1.2.2.4,0.815,0.873,0.105,0.001
G6.A1.1.2.1,0.703,0.001,0.148,0.299
G6.A3.1.1.1,0.868,0.001,0.207,0.299
G6.G1.1.7.1,0.763,0.001,0.12,0.213
G6.N1.1.1.1,0.892,0.171,0.194,0.299
G6.N1.1.2.1,0.863,0.101,0.131,0.299
G6.N1.1.2.2,0.852,0.323,0.223,0.299
G6.N2.1.2.3,0.575,0.85,0.111,0.001
G6.S1.1.5.1,0.208,0.001,0.299,0.299
G6.S2.1.1.1,0.466,0.229,0.295,0.299
G7.N3.3.2.1,0.678,0.99,0.234,0.011
G7.N3.3.2.2,0.925,0.001,0.184,0.299
G7.N4.1.1.1,0.562,0.22,0.106,0.299
G7.N4.2.1.1,0.84,0.064,0.22,0.299
G7.N4.2.1.2,0.757,0.538,0.195,0.001
G7.N5.1.1.1,0.974,0.001,0.108,0.299
G7.N5.1.1.2,0.617,0.904,0.105,0.001
G8.A2.1.1.1,0.441,0.159,0.257,0.299
G8.A2.1.2.1,0.149,0.058,0.066,0.271
G8.N3.2.4.1,0.701,0.001,0.284,0.299
G8.N3.2.4.2,0.471,0.154,0.268,0.299
G8.N4.2.3.1,0.561,0.035,0.274,0.299
G8.N4.2.3.2,0.532,0.027,0.184,0.299
G9.A2.1.3.1,0.632,0.086,0.135,0.299
G9.A2.1.4.1,0.485,0.017,0.109,0.299
G9.A3.1.2.1,0.757,0.025,0.149,0.299
G9.A3.1.3.1,0.385,0.266,0.194,0.034
G9.A3.3.1.1,0.225,0.132,0.18,0.143
G9.A3.3.4.1,0.567,0.046,0.212,0.299
G9.A3.3.5.1,0.16,0.006,0.21,0.255
G9.A3.4.1.1,0.309,0.007,0.172,0.287
G9.G1.1.12.1,0.501,0.042,0.245,0.299
G9.G1.1.6.1,0.988,0.001,0.252,0.001
G9.G1.1.8.1,0.491,0.114,0.216,0.299
G9.G3.1.3.1,0.594,0.207,0.139,0.299
G9.M1.2.2.1,0.445,0.151,0.278,0.299
G9.N5.1.2.1,0.485,0.298,0.112,0.299
G9.N5.1.3.1,0.685,0.291,0.168,0.299
G9.N5.2.1.1,0.359,0.159,0.275,0.077
G9.N5.2.1.2,0.562,0.345,0.135,0.299
G9.N5.2.1.3,0.609,0.827,0.115,0.001
G9.N5.2.1.4,0.99,0.001,0.211,0.299
G9.S1.1.7.1,0.946,0.001,0.276,0.279
G9.S1.2.1.1,0.167,0.244,0.291,0.194
G9.S1.2.1.2,0.001,0.423,0.232,0.299
G9.S2.1.3.1,0.039,0.001,0.299,0.212
