lesson_name,L0,T,S,G
G1.M2.1.1.1,0.261,0.156,0.29,0.299
G1.N1.1.1.1,0.893,0.565,0.045,0.003
G1.N1.1.1.2,0.952,0.878,0.05,0.064
G1.N1.1.2.1,0.829,0.104,0.172,0.299
G1.N1.1.2.2,0.915,0.352,0.082,0.001
G1.N1.1.2.3,0.445,0.423,0.126,0.128
G1.N1.1.2.4,0.767,0.009,0.16,0.299
G1.N1.3.1.1,0.989,0.228,0.038,0.214
G1.N1.3.1.11,0.958,0.001,0.167,0.299
G1.N1.3.1.4,0.906,0.122,0.061,0.299
G1.N1.3.1.8,0.981,0.99,0.031,0.185
G2.M2.2.1.1,0.383,0.127,0.299,0.299
G2.N1.1.1.1,0.971,0.294,0.059,0.001
G2.N1.1.1.2,0.713,0.141,0.159,0.299
G2.N1.1.2.1,0.955,0.045,0.085,0.087
G2.N1.1.2.2,0.601,0.116,0.145,0.299
G2.N1.1.2.3,0.478,0.325,0.132,0.299
G2.N1.1.2.4,0.594,0.429,0.047,0.188
G2.N1.1.2.5,0.766,0.06,0.104,0.299
G2.N1.1.3.1,0.926,0.065,0.043,0.299
G2.N1.1.3.2,0.986,0.001,0.087,0.299
G2.N1.2.2.1,0.504,0.068,0.189,0.299
G2.N1.2.2.2,0.838,0.695,0.029,0.001
G2.N1.3.2.2,0.378,0.516,0.046,0.201
G2.N1.3.2.3,0.409,0.38,0.015,0.255
G3.A1.1.1.1,0.702,0.669,0.264,0.001
G3.G1.1.1.1,0.24,0.696,0.191,0.217
G3.G3.1.1.1,0.023,0.181,0.299,0.299
G3.M1.1.1.1,0.99,0.001,0.173,0.299
G3.M1.1.1.2,0.967,0.18,0.044,0.299
G3.M1.1.2.1,0.55,0.069,0.299,0.299
G3.N1.1.1.1,0.869,0.18,0.143,0.05
G3.N1.1.1.2,0.871,0.001,0.182,0.299
G3.N1.1.2.1,0.691,0.115,0.246,0.298
G3.N1.1.2.2,0.773,0.742,0.087,0.001
G3.N1.1.2.3,0.501,0.143,0.147,0.299
G3.N1.1.2.4,0.641,0.065,0.135,0.241
G3.N1.1.2.5,0.967,0.001,0.154,0.091
G3.N1.1.3.1,0.836,0.486,0.053,0.217
G3.N1.1.3.2,0.819,0.074,0.127,0.199
G3.N1.1.3.3,0.961,0.001,0.116,0.001
G3.N1.1.3.4,0.958,0.001,0.179,0.299
G3.N1.1.3.5,0.939,0.154,0.218,0.001
G3.N1.2.2.1,0.653,0.121,0.096,0.183
G3.N1.2.2.2,0.99,0.99,0.238,0.299
G3.N1.2.2.3,0.837,0.99,0.019,0.247
G3.N1.2.2.4,0.36,0.314,0.069,0.262
G3.N1.2.2.5,0.99,0.99,0.165,0.299
G3.N1.3.1.1,0.754,0.221,0.136,0.299
G3.N1.3.1.3,0.891,0.13,0.18,0.001
G3.S1.1.1.1,0.489,0.156,0.299,0.299
G4.G1.1.11.1,0.515,0.22,0.009,0.283
G4.M2.1.2.1,0.439,0.001,0.299,0.299
G4.M2.1.3.1,0.771,0.018,0.285,0.299
G4.N1.1.1.1,0.622,0.037,0.112,0.122
G4.N1.1.1.2,0.781,0.153,0.226,0.299
G4.N1.1.2.1,0.711,0.136,0.271,0.175
G4.N1.1.2.2,0.863,0.554,0.2,0.001
G4.N1.1.2.3,0.453,0.023,0.29,0.299
G4.N1.1.2.4,0.656,0.217,0.292,0.299
G4.N1.1.2.5,0.935,0.052,0.274,0.069
G4.N1.1.3.1,0.95,0.579,0.052,0.299
G4.N1.1.3.2,0.838,0.323,0.082,0.236
G4.N1.2.2.1,0.386,0.199,0.212,0.115
G4.N1.2.2.2,0.669,0.001,0.074,0.103
G4.N1.2.2.3,0.99,0.001,0.009,0.299
G4.N1.2.2.4,0.825,0.047,0.13,0.217
G4.N1.2.2.5,0.658,0.023,0.163,0.012
G4.N1.2.3.1,0.201,0.187,0.115,0.299
G4.N2.1.1.1,0.806,0.321,0.092,0.001
G4.N2.1.1.5,0.401,0.159,0.186,0.299
G4.N2.1.1.6,0.539,0.468,0.172,0.001
G5.N1.1.1.1,0.67,0.034,0.17,0.127
G5.N1.1.1.2,0.849,0.081,0.202,0.267
G5.N1.1.2.1,0.78,0.16,0.131,0.299
G5.N1.1.2.2,0.373,0.074,0.26,0.299
G5.N1.1.2.3,0.471,0.127,0.275,0.299
G5.N1.1.3.1,0.696,0.019,0.11,0.053
G5.N1.1.3.2,0.654,0.044,0.126,0.025
G5.N1.2.2.1,0.834,0.053,0.148,0.299
G5.N1.2.2.2,0.621,0.006,0.097,0.03
G5.N1.2.2.3,0.799,0.218,0.004,0.299
G5.N1.2.2.4,0.773,0.058,0.164,0.146
G5.N1.2.2.5,0.738,0.035,0.277,0.03
G5.N1.2.2.6,0.036,0.042,0.261,0.299
G5.N1.2.3.1,0.345,0.164,0.086,0.252
G5.S1.1.2.1,0.549,0.001,0.299,0.299
G6.A1.1.2.1,0.011,0.028,0.241,0.299
G6.A3.1.1.1,0.138,0.001,0.299,0.299
G6.M1.1.4.1,0.539,0.048,0.299,0.299
G6.M1.2.1.1,0.001,0.024,0.299,0.299
G6.N1.1.1.1,0.851,0.2,0.288,0.299
G6.N1.1.2.1,0.929,0.016,0.204,0.299
G6.N1.1.2.2,0.496,0.125,0.299,0.295
G6.N1.1.2.3,0.313,0.094,0.206,0.299
G6.N1.2.2.1,0.88,0.027,0.19,0.299
G6.N1.2.2.2,0.65,0.051,0.09,0.001
G6.N1.2.2.3,0.981,0.001,0.066,0.299
G6.N1.2.2.4,0.591,0.121,0.102,0.299
G6.N1.2.2.5,0.881,0.001,0.291,0.035
G6.N1.2.2.6,0.127,0.034,0.299,0.222
G6.N1.3.3.3,0.428,0.071,0.299,0.001
G6.N2.1.2.3,0.471,0.141,0.116,0.299
G6.N2.2.1.1,0.098,0.001,0.299,0.277
G6.N3.1.1.4,0.472,0.001,0.153,0.299
G6.N3.3.1.1,0.371,0.207,0.256,0.299
G6.S1.1.5.1,0.024,0.001,0.299,0.299
G6.S2.1.1.1,0.348,0.001,0.299,0.299
G7.N2.1.2.1,0.267,0.232,0.183,0.001
G7.N3.3.2.1,0.554,0.072,0.292,0.278
G7.N3.3.2.2,0.448,0.013,0.299,0.299
G7.N4.1.1.1,0.452,0.274,0.147,0.299
G7.N4.2.1.1,0.516,0.049,0.299,0.299
G7.N4.2.1.2,0.323,0.022,0.203,0.252
G7.N4.2.1.3,0.302,0.065,0.299,0.154
G7.N4.2.1.4,0.661,0.012,0.184,0.299
G7.N4.2.2.1,0.428,0.001,0.299,0.299
G7.N5.1.1.1,0.866,0.001,0.177,0.299
G7.N5.1.1.2,0.138,0.408,0.073,0.299
G8.A2.1.1.1,0.264,0.069,0.299,0.299
G8.A2.1.2.1,0.043,0.023,0.127,0.299
G8.N3.2.4.1,0.184,0.021,0.299,0.269
G8.N3.2.4.2,0.506,0.088,0.299,0.299
G8.N4.2.3.1,0.499,0.033,0.299,0.299
